province,n_famers,area,CPGP,Control,season
Aurora,38,48.5,74.94,61.38,wet
Bataan,33,71.9,48.67,39.93,wet
Bulacan,24,23.5,91.58,80.43,wet
Nueva Ecija,105,115.4,90.16,82.09,wet
Pampanga,81,181.6,97.56,87.16,wet
Tarlac,64,136.01,81.08,70.33,wet
Zambales,107,101.56,118.05,100.83,wet
Aurora,92,73.32,100.5,78.64,dry
Bataan,8,13.28,94.1,83.36,dry
Bulacan,520,675.56,101.24,85.39,dry
Nueva Ecija,89,213.45,114.72,97.4,dry
Pampanga,37,57,98.38,77.92,dry
Tarlac,53,93.49,108.41,91.42,dry
Zambales,45,36.32,77.15,66.92,dry